2000,0,2,2
P00325,B001,3,0
P00325,B002,3,0
P00325,B002,3,0
P00007,B127,3,0
P00007,B127,3,0
P00007,B128,3,0
P00007,B128,3,0
P00007,B129,3,0
P00007,B129,3,0
P00007,B131,3,0
P00007,B131,3,0
P00007,B132,3,0
P00007,B132,3,0
P00007,B133,3,0
P00007,B133,3,0
P00007,B134,3,0
P00007,B134,3,0
P00105,B023,3,0
P00105,B023,3,0
P00014,B067,3,0
P00014,B067,3,0
P00007,B135,3,0
P00007,B137,3,0
P00007,B137,3,0
P00335,B001,3,0
P00335,B001,3,0
P00335,B002,3,0
P00335,B002,3,0
P00336,D001,3,0
P00336,D003,3,0
P00336,D004,3,0
P00336,D005,3,0
P00336,D006,3,0
P00336,D007,3,0
P00336,D008,3,0
P00336,D009,3,0
P00338,D001,3,0
P00338,D002,3,0
P00338,D003,3,0
P00338,D004,3,0
P00338,D005,3,0
P00338,D006,3,0
P00337,D001,3,0
P00337,D002,3,0
P00337,D003,3,0
P00337,D005,3,0
P00339,D001,3,0
P00007,B139,3,0
P00339,D002,3,0
P00007,B139,3,0
P00339,D003,3,0
P00276,B004,1,1
P00007,B140,3,0
P00339,D004,3,0
P00276,B004,1,1
P00007,B140,3,0
P00339,D005,3,0
P00276,B005,1,2
P00340,D001,3,0
P00276,B005,1,2
P00340,D002,3,0
P00298,B002,2,1
P00340,D004,3,0
P00298,B002,2,1
P00298,B003,2,1
P00341,D001,3,0
P00298,B003,2,1
P00341,D002,3,0
P00341,D003,3,0
P00341,D004,3,0
P00341,D005,3,0
P00342,D001,3,0
P00342,D002,3,0
P00342,D003,3,0
P00300,B003,1,1
P00343,D001,3,0
P00300,B003,1,1
P00344,D001,3,0
P00028,B031,2,1
P00346,D002,3,0
P00028,B031,2,1
P00345,D002,3,0
P00346,D001,3,0
P00346,D004,3,0
P00302,B001,2,2
P00346,D003,3,0
P00302,B001,2,2
P00346,D005,3,0
P00302,B002,2,2
P00347,D001,3,0
P00302,B002,2,2
P00347,D002,3,0
P00303,B001,2,2
P00347,D003,3,0
P00303,B001,2,2
P00347,D004,3,0
P00347,D005,3,0
P00347,D006,3,0
P00348,D001,3,0
P00348,D002,3,0
P00348,D003,3,0
P00348,D004,3,0
P00348,D005,3,0
P00346,D006,1,1
P00346,D007,1,1
P00336,D010,0,1
P00336,B001,2,1
P00336,B001,1,1
P00330,B007,0,1
P00330,B007,0,1
P00276,B002,1,1
P00273,B001,3,0
P00271,B001,3,0
P00271,B002,3,0
P00275,B001,3,0
